Название;Широта;Долгота;Код станции в реестре ЕСР;Номер линии по FreiCON;Название линии;Область;Район;Железная дорога;Регион РЖД:;Класс станции;Тип
Абрамиха;51.91;106.16;93458;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Аван;47.49;134.65;97206;96-024;Хабаровск 1 - Сибирцево;Хабаровский край;Вяземский;Дальневосточная;Хабаровский;;
Агней;56.11;111.31;90352;92-017;Лена Восточная-Хани;Республика Бурятия;Северо-Байкальский район;Восточно-Сибирская;Северо-Байкальский ;5;разъезд
Адарка;44.70;132.91;97421;96-024;Хабаровск I - Сибирцево;Приморский край;Спасский район;Дальневосточная;Владивостокский;;
Адарка;44.70;132.91;97421;96-024;Хабаровск I - Сибирцево;Приморский край;Спасский район;Дальневосточная;Владивостокский;;
Адникан;50.95;132.40;91900;96-060;Новый Ургал - Известковая;Хабаровский край;Верхнебуреинский;Дальневосточная;Хабаровский;;
Адо-Тымово;51.12;142.68;99771;96-073;Победино-Сахалинское - Ноглики; Сахалинская область;ГО Тымовский;Дальневосточная;Сахалинский;;
Адриановка;51.57;114.52;94330;94-006;Карымская - Борзя;Забайкальский край;Карымский район;Забайкальская;Борзинский регион;5;промежуточная 
Аку ;56.33;115.39;90653;92-017;Лена Восточная-Хани;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;;разъезд
Акур;49.83;140.06;96690;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Аланап;49.97;132.02;91771;96-060;Новый Ургал - Известковая;Хабаровский край;Верхнебуреинский;Дальневосточная;Хабаровский;;
Алеур;52.56;117.11;94911;94-003;Куэнга - Бамовская;Забайкальский край;Чернышевский район;Забайкальская;Читинский регион;4;обгонный пункт
Алонка;51.37;132.44;91690;96-006;Бестужево - Новый Ургал;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Алчан;46.63;134.32;97231;96-024;Хабаровск I - Сибирцево;Приморский край;Пожарский район;Дальневосточная;Владивостокский;;
Алчан;46.63;134.32;97231;96-024;Хабаровск I - Сибирцево;Приморский край;Пожарский район;Дальневосточная;Владивостокский;;
Альба;51.33;142.72;99790;96-073;Победино-Сахалинское - Ноглики; Сахалинская область;ГО Тымовский;Дальневосточная;Сахалинский;;
Амазар;53.86;120.88;95110;94-003;Куэнга - Бамовская;Забайкальский край;Могочинский район;Забайкальская;Могочинский регион;4;промежуточная 
Амган;51.46;131.69;91671;96-006;Бестужево - Новый Ургал;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Амгунь;51.42;135.10;91880;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Амур;48.54;135.02;97030;96-023;Дежневка - Хабаровск 1;Хабаровский край;ГО Хабаровск;Дальневосточная;Хабаровский;;
Амурский Залив;43.33;132.06;98211;96-039;Барановский - Угольная;Приморский край;ГО Артем;Дальневосточная;Владивостокский;;
Амут;55.28;125.62;91171;96-006;Бестужево - Новый Ургал;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Анамакит;56.16;111.53;90353;92-017;Лена Восточная-Хани;Республика Бурятия;Северо-Байкальский район;Восточно-Сибирская;Северо-Байкальский ;;разъезд
Ангаракан ;56.33;113.22;90392;92-016;Ангаракан - Казанкан;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;;
Ангаракан ;56.33;113.22;90392;92-017;Лена Восточная-Хани;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;5;разъезд
Ангарич;53.83;124.41;95215;94-004;Бамовская - Белогорск;Амурская область;Сковородинский район;Забайкальская;Свободненский регион;4;обгонный пункт
Ангоя;56.01;110.91;90350;92-017;Лена Восточная-Хани;Республика Бурятия;Северо-Байкальский район;Восточно-Сибирская;Северо-Байкальский ;5;промежуточная  
Анисимовка;43.17;132.78;98360;96-053;Смоляниново - Пост 132 км;Приморский край;Шкотовский район;Дальневосточная;Владивостокский;;
