Индекс;Название станции;Шир;Долг;Выс;Республика. область
30385;Усть-Нюкжа;56.58;121.48;430;Амурская область
30497;Лопча;55.70;122.78;579;Амурская область
30499;Тында;55.18;124.67;533;Амурская область
30683;Ерофей Павлович;53.97;121.93;521;Амурская область
30686;Игнашино;53.50;122.40;293;Амурская область
30692;Сковородино;54.00;123.97;397;Амурская область
30695;Джалинда;53.50;123.90;266;Амурская область
31199;Унаха;55.03;128.80;448;Амурская область
31253;Бомнак;54.72;128.87;365;Амурская область
31257;Береговой;54.40;127.40;352;Амурская область
31263;Локшак;54.73;130.45;462;Амурская область
31295;Магдагачи;53.47;125.82;369;Амурская область
31299;Тыгда;53.10;126.35;314;Амурская область
31300;Зея;53.70;127.30;228;Амурская область
31311;Огорон;53.88;129.07;405;Амурская область
31318;Дугда;53.35;130.00;320;Амурская область
31325;Шевли;53.48;131.78;442;Амурская область
31329;Экимчан;53.08;132.98;540;Амурская область
31371;Черняево;52.78;126.00;210;Амурская область
31373;Октябрьский Прииск;53.00;128.70;332;Амурская область
31388;Норск;52.40;129.90;207;Амурская область
31392;Стойба;52.80;131.70;364;Амурская область
31397;Бысса;52.40;131.30;294;Амурская область
31441;Саскаль;51.65;126.92;212;Амурская область
31442;Шимановск;51.98;127.65;280;Амурская область
31443;Мазаново;51.63;128.82;161;Амурская область
31445;Свободный;51.45;128.12;195;Амурская область
31459;Верхняя Томь;51.35;130.43;261;Амурская область
31510;Благовещенск;50.25;127.50;130;Амурская область
31511;Сергеевка;50.80;127.30;146;Амурская область
31513;Белогорск;50.90;128.50;178;Амурская область
31521;Братолюбовка;50.80;129.30;227;Амурская область
31524;Екатеринославка;50.40;129.10;226;Амурская область
31527;Завитая;50.10;129.50;239;Амурская область
31583;Малиновка;49.80;129.90;114;Амурская область
31586;Константиновка;49.60;128.00;117;Амурская область
31587;Поярково;49.60;128.70;115;Амурская область
31594;Архара;49.42;130.08;133;Амурская область
31703;Биракан;49.00;131.73;267;Еврейская а. о.
30263;Ничатка;57.73;117.55;561;Забайкальский край
30372;Чара;56.90;118.27;709;Забайкальский край
30374;Большая Лепринда;56.65;117.60;998;Забайкальский край
30379;Катугино;56.05;119.14;990;Забайкальский край
30469;Калакан;55.12;116.77;612;Забайкальский край
30471;Средний Калар;55.87;117.37;748;Забайкальский край
30484;Средняя Олекма;55.43;120.55;526;Забайкальский край
30552;Моклакан;54.80;118.90;708;Забайкальский край
30565;Усть-Каренга;54.40;116.50;686;Забайкальский край
30567;Хулугли;54.00;115.00;738;Забайкальский край
30576;Тупик;54.40;119.90;642;Забайкальский край
30585;Гуля;54.70;121.00;566;Забайкальский край
30655;Юмурчен;53.60;114.05;792;Забайкальский край
30664;Тункогочен;53.53;115.62;810;Забайкальский край
30667;Кыкер;53.20;115.80;591;Забайкальский край
30669;Зилово;53.10;117.50;700;Забайкальский край
30673;Могоча;53.75;119.73;624;Забайкальский край
30675;Ксеньевская;53.50;118.70;583;Забайкальский край
30676;Часовая;53.40;119.97;359;Забайкальский край
30679;Горбица;53.10;119.20;382;Забайкальский край
30682;Амазар;53.87;120.87;471;Забайкальский край
30688;Покровка;53.35;121.55;313;Забайкальский край
30755;Бургень;52.40;113.80;761;Забайкальский край
30757;Беклемишево;52.10;112.70;968;Забайкальский край
30758;Чита;52.08;113.48;671;Забайкальский край
30764;Усугли;52.65;115.20;644;Забайкальский край
30765;Зюльзя;52.55;116.20;533;Забайкальский край
30766;Чернышевск;52.50;117.00;538;Забайкальский край
30768;Нерчинск.АМСГ;52.00;116.50;477;Забайкальский край
30772;Усть-Карск;52.70;118.80;402;Забайкальский край
30777;Сретенск;52.23;117.70;528;Забайкальский край
30778;Батакан;52.10;118.80;614;Забайкальский край
30781;Урюпино;52.75;120.00;367;Забайкальский край
30838;Петровский Завод;51.30;108.90;810;Забайкальский край
30843;Могзон;51.73;112.00;906;Забайкальский край
30844;Хилок;51.35;110.47;800;Забайкальский край
30845;Харагун;51.60;111.20;853;Забайкальский край
30846;Улеты;51.35;112.47;743;Забайкальский край
30849;Горекацан;51.13;111.92;813;Забайкальский край
30853;Карымская;51.63;114.32;619;Забайкальский край
30858;Дарасун;51.20;113.70;797;Забайкальский край
30859;Агинское Заб;51.10;114.52;680;Забайкальский край
30862;Шилка;51.90;116.00;596;Забайкальский край
30866;Балей.АМСГ;51.65;116.70;644;Забайкальский край
30874;Шелопугино;51.65;117.60;713;Забайкальский край
30875;Ямкун;51.50;118.30;698;Забайкальский край
30879;Нерчинский з-д;51.32;119.62;621;Забайкальский край
30935;Красный Чикой;50.37;108.75;770;Забайкальский край
30938;Менза;49.43;108.85;934;Забайкальский край
30941;Черемховский перевал;50.70;110.30;1647;Забайкальский край
30944;Черемхово;50.58;110.15;883;Забайкальский край
30948;Букукун;49.50;111.10;1136;Забайкальский край
30949;Кыра;49.57;111.97;907;Забайкальский край
30952;Дульдурга;50.68;113.58;752;Забайкальский край
30954;Мангут;49.70;112.67;807;Забайкальский край
30957;Акша;50.30;113.30;731;Забайкальский край
30961;Оловянная;50.95;115.58;642;Забайкальский край
30964;Нижний Цасучей;50.52;115.13;638;Забайкальский край
30965;Борзя;50.40;116.52;675;Забайкальский край
30967;Соловьевск;49.90;115.85;620;Забайкальский край
30968;Забайкальск;49.63;117.33;693;Забайкальский край
30971;Александровский завод;50.90;117.90;805;Забайкальский край
