Название;Широта;Долгота;Код станции в реестре ЕСР;Область;Район;линия;Пригородное направление: ;Регион РЖД:;отделение дороги
8142 км;49,17;130,67;1958;Амурская;Архаринский;-;Белогорск-Хабаровск;Хабаровский;-
8166 км;49,05;130,85;1960;Амурская;Архаринский;-;Белогорск-Благовещенск;Хабаровский;-
Аван;47,49;134,65;972064;Хабаровский край;Вяземский;Вяземская — Ружино;Уссурийское;Хабаровский;Хабаровское
Аланап;49,97;132,02;917715;Хабаровский край;Верхнебуреинский;Известковая — Чегдомын;Уссурийское;Хабаровский;Комсомольское
Амур;48,54;135,02;970302;Хабаровский край;Хабаровск;Биробиджан — Хабаровск;Биробиджанское;Хабаровский;Хабаровское
Архара;49,42;130,08;960601;Амурская;Архаринский;Архара — Известковая и Белогорск - Архара ;Белогорск-Хабаровск;Хабаровский;Хабаровское
Аур;48,63;133,42;963309;ЕАО;Смидовичский;Биробиджан — Хабаровск;Биробиджанское;Хабаровский;Хабаровское
Бикин;46,82;134,25;972204;Хабаровский край;Бикинский;Вяземская — Ружино;Уссурийское;Хабаровский;Хабаровское
Бира;49,00;132,46;962503;ЕАО;Бира;Известковая — Биробиджан — Ленинск;Биробиджанское;Хабаровский;Хабаровское
Биракан;48,99;131,72;962005;ЕАО;Биракан;Известковая — Биробиджан — Ленинск;Биробиджанское;Хабаровский;Хабаровское
Биробиджан;48,79;132,94;962804;ЕАО;Биробиджан;Известковая — Биробиджан — Ленинск, Биробиджан — Хабаровск;Биробиджанское;Хабаровский;Хабаровское
Богучан;49,28;130,26;960809;Амурская;Архаринский;Архара — Известковая;Белогорск-Хабаровск;Хабаровский;Хабаровское
Бойцово;46,99;134,32;972134;Хабаровский край;Бикинский;Вяземская — Ружино;Уссурийское;Хабаровский;-
Брусит;49,10;131,58;918206;ЕАО;Облученский;Известковая — Чегдомын;Биробиджанское;Хабаровский;Комсомольское
Будукан;49,02;132,24;962429;ЕАО;Облученский;Известковая — Биробиджан — Ленинск;Биробиджанское;Хабаровский;Хабаровское
Вандан;48,98;135,09;964015;Хабаровский край;Амурский;Волочаевка — Дзёмги;Уссурийское;Хабаровский;-
Верино;47,98;135,05;971409;Хабаровский край;имени Лазо;Хабаровск — Вяземская;Уссурийское;Хабаровский;Хабаровское
Волочаевка;48,56;134,48;963506;ЕАО;Смидовичский;Биробиджан — Хабаровск;Биробиджанское;Хабаровский;Хабаровское
Вяземская;47,54;134,75;971907;Хабаровский край;Вяземский;Хабаровск — Вяземская, Вяземская — Ружино;Уссурийское;Хабаровский;-
Гедике;47,37;134,49;972026;Хабаровский край;Вяземский;Вяземская — Ружино;Уссурийское;Хабаровский;-
Дальневосточный;49,17;135,17;964227;Хабаровский край;Амурский;Волочаевка — Дзёмги;Уссурийское;Хабаровский;Комсомольское
Дежневка;48,54;134,63;963525;ЕАО;Смидовичский;Биробиджан — Хабаровск;Биробиджанское;Хабаровский;Хабаровское
Джармен;48,71;134,65;963826;Хабаровский край;Амурский;Волочаевка — Дзёмги;Уссурийское;Хабаровский;-
Джелюмкен;48,92;134,97;964034;Хабаровский край;Амурский;Волочаевка — Дзёмги;Уссурийское;Хабаровский;Комсомольское
Дормидонтовка;47,77;134,91;971729;Хабаровский край;Вяземский;Хабаровск — Вяземская;Уссурийское;Хабаровский;Хабаровское
Дубки;47,72;134,91;971714;Хабаровский край;Вяземский;Хабаровск — Вяземская;Уссурийское;Хабаровский;Хабаровское
Есауловка;49,01;130,90;1961;Амурская;Архаринский;-;Белогорск-Хабаровск;Хабаровский;Комсомольское
Зимовье;49,46;131,55;917902;Хабаровский край;Верхнебуреинский;Известковая — Чегдомын;Уссурийское;Хабаровский;Комсомольское
Известковая;48,98;131,56;961604;ЕАО;Облученский район;Архара — Известковая, Известковая — Чегдомын, Известковая — Биробиджан — Ленинск;Биробиджанское;Хабаровский;Хабаровское
Известковый Завод;49,01;131,94;962202;ЕАО;Облученский район;Известковая — Биробиджан — Ленинск;Биробиджанское;Хабаровский;Хабаровское
Икура;48,73;133,11;962823;ЕАО;Смидовичский;Биробиджан — Хабаровск;Биробиджанское;Хабаровский;Хабаровское
Ин;48,59;133,81;963402;ЕАО;Смидовичский;Биробиджан — Хабаровск;Биробиджанское;Хабаровский;Хабаровское
Казачий;49,05;130,83;961110;Амурская;Первомайский;Архара — Известковая;Белогорск-Хабаровск;Хабаровский;-
Каменный карьер;49,32;130,19;960711;Амурская;Архаринский;Архара — Известковая;Белогорск-Хабаровск;Хабаровский;-
Каменушка;47,27;134,36;972045;Хабаровский край;Вяземский;Вяземская — Ружино;Уссурийское;Хабаровский;-
Карьерный;49,39;130,10;1955;Амурская;Архаринский;-;Белогорск-Хабаровск;Хабаровский;-
Касаткин;49,14;130,76;961017;Амурская;Архаринский;-;Белогорск-Хабаровск;Хабаровский;-
Кимкан;48,99;131,42;961445;ЕАО;Облученский район;Архара — Известковая;Биробиджанское;Хабаровский;Хабаровское
Кирга;48,87;132,85; 962715;ЕАО;Биробиджанский;Известковая — Биробиджан;Биробиджанское;Хабаровский;Хабаровское
Корфовская;48,22;135,08;971201;Хабаровский край;Корфовский;Биробиджан — Хабаровск;Биробиджанское;Хабаровский;Хабаровское
Котиково;47,42;134,53;972011;Хабаровский край;Вяземский;Вяземская — Ружино;Уссурийское;Хабаровский;-
Красицкий;47,64;134,86;971818;Хабаровский край;Вяземский;Хабаровск — Вяземская;Уссурийское;Хабаровский;Хабаровское
Красная Речка;48,35;135,09;971108;Хабаровский край;Хабаровск;Хабаровск — Вяземская;Уссурийское;Хабаровский;Хабаровское
Кругликово;48,10;135,11;971305;Хабаровский край;имени Лазо;Хабаровск — Вяземская;Уссурийское;Хабаровский;Хабаровское
Кульдур;49,20;131,63;918106;ЕАО;Облученский район;Известковая — Чегдомын;Биробиджанское;Хабаровский;Комсомольское
Лагар-Аул;49,01;131,23;961426;ЕАО;Облученский район;Архара — Известковая;Биробиджанское;Хабаровский;-
Литовко;49,24;135,18;964301;Хабаровский край;Амурский;Волочаевка — Дзёмги;Уссурийское;Хабаровский;Комсомольское
Лондоко;49,01;132,00;962325;ЕАО;Облученский район;Известковая — Биробиджан — Ленинск;Биробиджанское;Хабаровский;Хабаровское
Мошка;50,28;132,28;917616;Хабаровский край;Верхнебуреинский;Известковая — Чегдомын;Уссурийское;Хабаровский;Комсомольское
Николаевка;48,53;134,77;970105;ЕАО;Смидовичский;Биробиджан — Хабаровск;Биробиджанское;Хабаровский;Хабаровское
Нусхи;49,48;135,29;964424;Хабаровский край;Амурский;Волочаевка — Дзёмги;Уссурийское;Хабаровский;-
Облучье;49,01;131,06;961407;ЕАО;Облученский район;Архара — Известковая;Белогорск-Хабаровск;Хабаровский;Хабаровское
Ольгохта;48,61;134,16;963421;ЕАО;Смидовичский;Биробиджан — Хабаровск;Биробиджанское;Хабаровский;Хабаровское
Отроги;49,23;130,57;960917;Амурская;Архаринский;-;Белогорск-Хабаровск;Хабаровский;-
Партизанские сопки;48,82;134,88;963830;Хабаровский край;Амурский;Волочаевка — Дзёмги;Уссурийское;Хабаровский;-
Перевальный;49,32;131,66;918021;Хабаровский край;Верхнебуреинский;Известковая — Чегдомын;Уссурийское;Хабаровский;Комсомольское
Покровский;48,53;134,94;970213;ЕАО;Смидовичский;Биробиджан — Хабаровск;Биробиджанское;Хабаровский;-
Приамурская;48,52;134,90;970209;ЕАО;Смидовичский;Биробиджан — Хабаровск;Биробиджанское;Хабаровский;Хабаровское
Рачи;49,27;130,36;960813;Амурская;Архаринский;-;Белогорск-Хабаровск;Хабаровский;-
Розенгартовка;47,16;134,31;972100;Хабаровский край;Бикинский;Вяземская — Ружино;Уссурийское;Хабаровский;Хабаровское
Санболи;49,36;135,19;964405;Хабаровский край;Амурский;Волочаевка — Дзёмги;Уссурийское;Хабаровский;Комсомольское
Сельгон;49,58;135,41;964528;Хабаровский край;Амурский;Волочаевка — Дзёмги;Уссурийское;Хабаровский;Комсомольское
Семисточный;48,96;132,57;962626;ЕАО;Бира;Известковая — Биробиджан — Ленинск;Биробиджанское;Хабаровский;Хабаровское
Согда;50,32;132,29;917620;Хабаровский край;Верхнебуреинский;Известковая — Чегдомын;Уссурийское;Хабаровский;Комсомольское
Таланджа;49,46;131,57;918036;Хабаровский край;Верхнебуреинский;Известковая — Чегдомын;Уссурийское;Хабаровский;Комсомольское
Таракелок;49,79;131,92;917724;Хабаровский край;Верхнебуреинский;Известковая — Чегдомын;Уссурийское;Хабаровский;-
Тарманчукан;49,19;130,66;961002;Амурская;Архаринский;Архара — Известковая;Белогорск-Хабаровск;Хабаровский;Хабаровское
Татакан;49,35;130,16;960705;Амурская;Архаринский;Архара — Известковая;Белогорск-Хабаровск;Хабаровский;Хабаровское
Тоннельный;49,16;130,71;961021;Амурская;Архаринский;Архара — Известковая;Белогорск-Хабаровск;Хабаровский;-
Тунгусский;48,55;134,56;963510;ЕАО;Смидовичский;Биробиджан — Хабаровск;Биробиджанское;Хабаровский;Хабаровское
Тырма;50,03;132,15;917705;Хабаровский край;Верхнебуреинский;Известковая — Чегдомын;Биробиджанское;Хабаровский;Комсомольское
Тёплое Озеро;49,00;131,88;962109;ЕАО;Облученский район;Известковая — Биробиджан — Ленинск;Биробиджанское;Хабаровский;Хабаровское
Ударный;48,99;131,13;961411;ЕАО;Облученский район;Архара — Известковая;Белогорск-Хабаровск;Хабаровский;-
Урил;49,23;130,48;960902;Амурская;Архаринский;Архара — Известковая;Белогорск-Хабаровск;Хабаровский;Хабаровское
Утиный;48,64;134,60;963811;Хабаровский край;Амурский;Волочаевка — Дзёмги;Биробиджанское;Хабаровский;-
Ушман;50,41;132,27;917512;Хабаровский край;Верхнебуреинский;Известковая — Чегдомын;Биробиджанское;Хабаровский;Комсомольское
Форель;49,09;135,15;964028;Хабаровский край;Амурский;Волочаевка — Дзёмги;Биробиджанское;Хабаровский;Комсомольское
Хабаровск;48,50;135,07;970406;Хабаровский край;Хабаровск;Биробиджан — Хабаровск, Хабаровск — Вяземская;Уссурийское;Хабаровский;Хабаровское
Хака;47,84;134,94;971517;Хабаровский край;имени Лазо;Хабаровск — Вяземская;Уссурийское;Хабаровский;Хабаровское
Хевчен;49,72;135,76;964602;Хабаровский край;Амурский;Волочаевка — Дзёмги;Биробиджанское;Хабаровский;Комсомольское
Хор;47,89;134,96;971502;Хабаровский край;имени Лазо;Хабаровск — Вяземская;Уссурийское;Хабаровский;Хабаровское
Эхилкан;49,71;131,81;917809;Хабаровский край;Верхнебуреинский;Известковая — Чегдомын;Биробиджанское;Хабаровский;Комсомольское
